A-18169-87706       A-1 SIDING & WINDOWSTEXAS               26,666.00           
A-18169-87887       APOGEE MEDICAL GROUP, DELAWARE, INC.ARIZONA             93,392.00           
A-18169-87931       MICROSOFT CORPORATIONWASHINGTON          134,618.00          
A-18170-88197       APOGEE MEDICAL GROUP, DELAWARE, INC.ARIZONA             93,392.00           
A-18171-88781       MICROSOFT CORPORATIONWASHINGTON          112,549.00          
A-18173-89989       MICROSOFT CORPORATIONWASHINGTON          104,584.00          
A-18222-06788       Chicago FADS        ILLINOIS            36,587.00           
A-18225-07049       HYUNDAI POWER TRANSFORMERS USAALABAMA             60,882.00           
A-18225-07118       SPIRENT COMMUNICATIONSCALIFORNIA          121,597.00          
A-18225-07268       ARIZONA STATE UNIVERSITYARIZONA             49,270.00           
A-18226-07559       United Language GroupMINNESOTA           108,638.00          
A-18227-08098       FACEBOOK, INC.      CALIFORNIA          88,442.00           
A-18227-08129       UNITED BIOSOURCE LLCPENNSYLVANIA        106,475.00          
A-18228-08173       SCHNEIDER ELECTRIC BUILDINGS, LLCMASSACHUSETTS       91,811.00           
A-18228-08215       IT AMERICA INC      NEW JERSEY          96,366.00           
A-18228-08322       HIRED, INC.         CALIFORNIA          55,640.00           
A-18228-08424       Softvision, LLC     GEORGIA             67,808.00           
A-18228-08481       Community Health Clinic Ole DBA OLE HealthCALIFORNIA          75,920.00           
A-18228-08529       HYUNDAI POWER TRANSFORMERS USAALABAMA             63,336.00           
A-18228-08576       ADS ALLIANCE DATA SYSTEMS, INC.TEXAS               93,538.00           
A-18229-08633       CAPGEMINI AMERICA, INC.ILLINOIS            83,366.00           
A-18229-08641       CAPGEMINI AMERICA, INC.ILLINOIS            110,198.00          
A-18229-08772       CHARTER COMMUNICATIONS, INC.CONNECTICUT         122,096.00          
A-18229-08823       RIVERBED TECHNOLOGY CALIFORNIA          168,210.00          
A-18229-08824       CHARTER COMMUNICATIONS, INC.CONNECTICUT         122,096.00          
A-18229-08900       XOME REALTY SERVICES LLCTEXAS               151,590.00          
A-18231-09120       CAPGEMINI AMERICA, INC.ILLINOIS            57,138.00           
A-18232-09326       HOSSEIN ZAMANIAN CPATEXAS               29,390.00           
A-18232-09396       ARIZONA STATE UNIVERSITYARIZONA             68,980.00           
A-18232-09464       STOCKTON UNIVERSITY NEW JERSEY          51,110.00           
A-18233-09793       Gemalto, Inc.       TEXAS               130,374.00          
A-18234-10133       MMA PAN ASIA FUND I MGMT, LLCNEW YORK            133,141.00          
A-18234-10218       AIRBNB, INC.        CALIFORNIA          77,459.00           
A-18234-10240       L&R Technologies LLCOHIO                93,891.00           
A-18234-10344       DELOITTE CONSULTING LLPPENNSYLVANIA        66,248.00           
A-18234-10416       ADVENT GLOBAL SOLUTIONS,INC.TEXAS               63,294.00           
A-18235-10786       UBER TECHNOLOGIES INC.CALIFORNIA          109,242.00          
A-18236-10881       CAPGEMINI AMERICA, INC.ILLINOIS            67,309.00           
A-18236-10888       CAPGEMINI AMERICA, INC.ILLINOIS            83,366.00           
A-18236-10910       CAPGEMINI AMERICA, INC.ILLINOIS            83,366.00           
A-18236-10938       POWER COSTS, INC.   OKLAHOMA            49,338.00           
A-18236-10945       Avila Political Consulting LLCFLORIDA             71,739.00           
A-18236-10966       BLUE CROSS AND BLUE SHIELD OF LOUISIANALOUISIANA           58,178.00           
A-18237-11247       TATA CONSULTANCY SERVICES LIMITEDNEW YORK            135,283.00          
A-18237-11248       TATA CONSULTANCY SERVICES LIMITEDNEW YORK            135,283.00          
A-18237-11249       TATA CONSULTANCY SERVICES LIMITEDNEW YORK            135,283.00          
A-18237-11270       TATA CONSULTANCY SERVICES LIMITEDNEW YORK            135,283.00          
A-18237-11271       TATA CONSULTANCY SERVICES LIMITEDNEW YORK            135,283.00          
A-18237-11272       TATA CONSULTANCY SERVICES LIMITEDNEW YORK            135,283.00          
A-18237-11273       TATA CONSULTANCY SERVICES LIMITEDNEW YORK            135,283.00          
A-18239-11814       W P Keith Co., Inc., dba Keith CompanyCALIFORNIA          91,229.00           
A-18240-12191       JACKSONVILLE UNIVERSITYFLORIDA             54,450.00           
A-18241-12459       CAPGEMINI AMERICA, INC.ILLINOIS            110,198.00          
A-18241-12476       CAPGEMINI AMERICA, INC.ILLINOIS            110,198.00          
A-18241-12706       UBER TECHNOLOGIES INC.CALIFORNIA          109,242.00          
A-18242-12914       COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATIONTEXAS               79,706.00           
A-18242-12986       COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATIONTEXAS               79,706.00           
A-18242-13029       DELOITTE CONSULTING LLPPENNSYLVANIA        87,797.00           
A-18253-16217       COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATIONTEXAS               93,475.00           
A-18253-16237       COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATIONTEXAS               79,706.00           
A-18260-18814       Cai Studio          NEW YORK            36,109.00           
A-18260-18858       AMERICAN EXPRESS TRAVEL RELATED SERVICESNEW YORK            110,968.00          
A-18260-18867       TATA CONSULTANCY SERVICES LIMITEDNEW YORK            115,565.00          
A-18260-18907       PENINSULA REGIONAL MEDICAL CENTERMARYLAND            112,382.00          
A-18260-18951       TATA CONSULTANCY SERVICES LIMITEDNEW YORK            115,565.00          
A-18260-18970       ZOOM INFORMATION, INCMASSACHUSETTS       127,920.00          
A-18260-19146       mscripts, LLC       CALIFORNIA          142,168.00          
A-18261-19304       DELOITTE CONSULTING LLPPENNSYLVANIA        54,038.00           
A-18261-19305       DELOITTE CONSULTING LLPPENNSYLVANIA        79,165.00           
A-18261-19328       UCARE MINNESOTA     MINNESOTA           109,928.00          
A-18261-19394       UNIVERSITY OF MASSACHUSETTS AMHERSTMASSACHUSETTS       69,000.00           
A-18261-19449       Farm Bureau Mutual Insurance Company of IdahoIDAHO               43,410.00           
A-18261-19652       MASTERBRAND CABINETS, INCINDIANA             105,248.00          
A-18261-19661       Blue Cross Blue Shield of MAMASSACHUSETTS       79,186.00           
A-18262-19769       COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATIONTEXAS               77,418.00           
A-18262-19775       AMAZON.COM SERVICES, INC.WASHINGTON          101,275.00          
A-18262-19814       DELOITTE CONSULTING LLPPENNSYLVANIA        115,482.00          
A-18262-19889       INSYS DEVELOPMENT COMPANY, INC.ARIZONA             59,800.00           
A-18262-19963       LARSEN & TOUBRO INFOTECH LIMITEDNEW JERSEY          113,776.00          
A-18262-20041       NORDSTROM, INC      WASHINGTON          91,395.00           
A-18262-20098       MORGAN STANLEY SERVICES GROUP INCNEW YORK            51,854.00           
A-18262-20126       LENDINGCLUB CORPORATIONCALIFORNIA          94,557.00           
A-18263-20263       CISCO SYSTEMS, INC. CALIFORNIA          127,543.00          
A-18263-20306       DELOITTE CONSULTING LLPPENNSYLVANIA        89,232.00           
A-18263-20316       TATA CONSULTANCY SERVICES LIMITEDNEW YORK            135,283.00          
A-18264-20947       TATA CONSULTANCY SERVICES LIMITEDNEW YORK            135,283.00          
A-18264-21002       TATA CONSULTANCY SERVICES LIMITEDNEW YORK            135,283.00          
A-18264-21061       TATA CONSULTANCY SERVICES LIMITEDNEW YORK            135,283.00          
A-18267-21324       COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATIONTEXAS               93,475.00           
